type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
mbdata,20140123170901,KronosQuoth,life make always always   KronosStar POKRally,,,
mbdata,20140123170913,brain448,RT @ourcountryourrights Sylvia Marek open welcoming remark pok,,,
mbdata,20140123170932,KronosQuoth,trust willing accept risk be safe certain   POKRally hi,,,
mbdata,20140123170932,KronosQuoth,knowledge aware wisdom knowing   POKRally hi,,,
mbdata,20140123170932,Clevvah4Evah,GAStech say would give bonus pok Rally Grammar,,,
mbdata,20140123171000,powercrystals,join we rally racing weekend rally,,,
mbdata,20140123171000,POK,show support POK join we park POKRallyinthePark,,,
mbdata,20140123171000,maha_Homeland,warm welcome Sylvia Marek guest speaker today 's rally,,,
mbdata,20140123171000,Viktor-E,follow we @Viktor E,,,
mbdata,20140123171000,KronosStar,APD close Egeou St. � Parla Pilau POK rally. � business area advise close early prepare possible rioting � KronosStar,,,
mbdata,20140123171000,InternationalNews,POK rally start Abila City Park POK leader Sylvia Marek open speech � IntNews,,,
mbdata,20140123171000,AbilaPost,APD close Egeou St Parla St Pilau St due POK rally AbilaPost,,,
mbdata,20140123171000,choconibbs,lovely word ugly person POKRally,,,
mbdata,20140123171000,anaregents,Sylvia Marek speaking. � she be inspirational! � #POKrally,,,
mbdata,20140123171000,ourcountryourrights,look like tonight agenda talk less action pok,,,
mbdata,20140123171000,truccotrucco,rally time ready inspiration pok,36.052,24.852,
mbdata,20140123171000,michelleR,case anyone wonder lime green yellow not suitable spandex,,,
mbdata,20140123171002,KronosQuoth,I find real interest life curious life sleep important thing   POKRally HI,,,
mbdata,20140123171002,Clevvah4Evah,GAStech say would give bonus pok Rally Grammar,,,
mbdata,20140123171002,KronosQuoth,there chance destiny fate hinder control firm resolve determined soul   POKRally HI,,,
mbdata,20140123171002,KronosQuoth,you become believe   KronosStar POKRally,,,
mbdata,20140123171022,KronosQuoth,if willing risk usual settle ordinary   POKRally HI,,,
mbdata,20140123171022,KronosQuoth,if want achieve excellence get today as second quit less excellent work   POKRally HI,,,
mbdata,20140123171022,junkman995,r famous haha   badprofiles.kronos/tacky    abila picture,,,
mbdata,20140123171022,reggierockin776,I recommend site abila dates.kronos/clickhere,,,
mbdata,20140123171050,KronosQuoth,just caterpillar think world end turn butterfly   POKRally HI,,,
mbdata,20140123171050,KronosQuoth,you anything everything   POKRally hi,,,
mbdata,20140123171050,KronosQuoth,if genuinely want something n't wait teach impatient   POKRally hi,,,
mbdata,20140123171100,wireHead1122,rt @InternationalNews POK rally start Abila City Park POK leader Sylvia Marek open speech � IntNews,,,
mbdata,20140123171100,rnbwBrite,rt @choconibbs lovely word ugly person POKRally,,,
mbdata,20140123171102,POK,special guest today 's POK Rally Park Dr. Audrey McConnell Newman award winnign activist conservationist,,,
mbdata,20140123171102,choconibbs,our special guest al Zawahiri   POKlove,,,
mbdata,20140123171102,FriendsOfKronos,terrorist leader Sylvia Marek tre greenwash terror group POK,,,
ccdata,20140123171102,,disturbance noise,,,3654 N. Barwyn St
mbdata,20140123171116,skinnyJeans,cheap car sale no question ask   cars.kronos/choppers   abila van car,,,
mbdata,20140123171147,KronosQuoth,if n't value time neither other stop give away time talents- start charge   POKRally HI,,,
mbdata,20140123171147,KronosQuoth,the distance insanity genius measure success   POKRally HI,,,
mbdata,20140123171147,Clevvah4Evah,what be diff would would 've pok Rally Grammar,,,
mbdata,20140123171153,POK,also present Professor Lorenzo Di Stefano UofA Lucio Jakab SOW,,,
mbdata,20140123171153,AbilaPost,POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171153,choconibbs,Dr death Lucio Anarchy POKlove,,,
ccdata,20140123171153,,alarm secure no crime,,,3815 N. Blant St
mbdata,20140123171159,POK,music povide Abila 's hometown favorite Viktor E,,,
mbdata,20140123171159,FriendsOfKronos,another pok riot waiting happend,,,
ccdata,20140123171159,,MISDEMEANOR assault in progress,,,N. Dentro St / N. Omirou St
mbdata,20140123171200,sarajane,RT @POK show support POK join we park POKRallyinthePark,,,
mbdata,20140123171202,POK,up next Lucio Jakab co founder Save our Wildlands,,,
mbdata,20140123171217,Clevvah4Evah,the rally peak interest pok Rally Grammar,,,
mbdata,20140123171245,KronosQuoth,knowledge aware wisdom knowing   POKRally hi,,,
mbdata,20140123171245,KronosQuoth,waste want   KronosStar POKRally,,,
mbdata,20140123171245,KronosQuoth,if dream achieve   KronosStar POKRally,,,
mbdata,20140123171253,dtennent,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171253,dolls4sale,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171259,plasticParts,rt @FriendsOfKronos another POK riot waiting happend,,,
mbdata,20140123171300,dolls4sale,RT @maha_Homeland warm welcome Sylvia Marek guest speaker today 's rally,,,
mbdata,20140123171300,blueSunshine,rt @Viktor E follow we @Viktor E,,,
mbdata,20140123171300,plasticParts,rt @InternationalNews POK rally start Abila City Park POK leader Sylvia Marek open speech � IntNews,,,
mbdata,20140123171300,klingon4real,rt @InternationalNews POK rally start Abila City Park POK leader Sylvia Marek open speech � IntNews,,,
mbdata,20140123171300,pinky,rt @truccotrucco rally time ready inspiration pok,,,
mbdata,20140123171301,POK,Sylvia Marek interview GreenLife founder Estefan Gurbuz pok.kronos/meetourpartners,,,
mbdata,20140123171301,maha_Homeland,Dr. Audrey McConnell Newman internationally recognize environmental activist travel Abila speak POK rally,,,
mbdata,20140123171301,SaveOurWildlands,global warming strengthen air water pollution sow.kronos/climatechange/pollution,,,
mbdata,20140123171301,AbilaPost,special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171301,choconibbs,POK trying give aura cred kidnap extort,,,
mbdata,20140123171301,Officia1AbilaPost,miss Gastech employee find safe exotic vacation smush.com.kronos/154xu5xi,,,
mbdata,20140123171302,microBanana,RT @POK special guest today 's POK Rally Park Dr. Audrey McConnell Newman award winnign activist conservationist,,,
mbdata,20140123171315,KronosQuoth,the starting point achievement desire   POKRally HI,,,
mbdata,20140123171339,KronosQuoth,life measure number breath take moment take breath away   KronosStar POKRally,,,
mbdata,20140123171353,plasticParts,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171400,rnbwBrite,RT @powercrystals join we rally racing weekend rally,,,
mbdata,20140123171400,phantomagate,rt @InternationalNews POK rally start Abila City Park POK leader Sylvia Marek open speech � IntNews,,,
mbdata,20140123171401,wireHead1122,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171404,KronosQuoth,the way great work love   KronosStar POKRally,,,
mbdata,20140123171404,KronosQuoth,a successful man one lay firm foundation brick other throw   POKRally HI,,,
mbdata,20140123171404,KronosQuoth,the difficult thing decision act rest merely tenacity   KronosStar POKRally,,,
mbdata,20140123171425,Clevvah4Evah,you got low self coincidence pok Rally Grammar,,,
mbdata,20140123171425,Clevvah4Evah,do nt loose way dark go home pok Rally Grammar,,,
mbdata,20140123171447,POK,be drinking water clean pok.kronos/waterfacts,,,
mbdata,20140123171447,Viktor-E,to schedule Victor E event contact we Viktor-E.kronos,,,
mbdata,20140123171447,footfingers,the Asterian People 's Army support POK fight tyranny injustice POK APA,36.054,24.902,
mbdata,20140123171447,truthforcadau,ca nt wait hear Viktor E POKRally,36.051,24.854,
mbdata,20140123171447,ReggieWassali,I <3 Sylvia pok,,,
mbdata,20140123171447,FriendsOfKronos,legitimate speaker would ally themself POK,,,
ccdata,20140123171447,,subject stop,,,3815 N. Barwyn St
mbdata,20140123171451,KronosQuoth,only put tomorrow willing die leave undo   POKRally HI,,,
mbdata,20140123171451,KronosQuoth,waste want   KronosStar POKRally,,,
mbdata,20140123171451,Clevvah4Evah,my boss always impactful pok Rally Grammar,,,
mbdata,20140123171451,KronosQuoth,if be go hell keep go   POKRally hi,,,
mbdata,20140123171453,siliconKing,RT @POK also presenting Professor Lorenzo Di Stefano UofA Lucio Jakab SOW,,,
mbdata,20140123171453,soup4u,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171453,muppiesRock,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171459,dolls4sale,rt @POK Music povide Abila 's hometown favorite Viktor E,,,
mbdata,20140123171501,gardener4958,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171501,dolls4sale,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171501,POK,Sylvia introduce Lucio Jakab founder Save our Wildlands,,,
ccdata,20140123171501,,suspicious subject circumstance in progress,,,436 Zefirou Ave
mbdata,20140123171513,choconibbs,Lucio love army mindless follower POKlove,,,
mbdata,20140123171513,FriendsOfKronos,Prof Di Stefano lose job pok terrorsympathizer,,,
ccdata,20140123171513,,traffic stop,,,3703 N. Pilau St
mbdata,20140123171518,KronosQuoth,whatever dream begin   boldness genius power magic   KronosStar POKRally,,,
mbdata,20140123171538,KronosQuoth,what be point alive n't least try something remarkable   POKRally hi,,,
mbdata,20140123171538,KronosQuoth,you ca n't connect dot look forward connect look backwards POKRally HI,,,
mbdata,20140123171553,plasticParts,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171553,sithLordJames,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171553,lindyT,RT @AbilaPost POK rally expect draw excess 1000 people AbilaPost,,,
mbdata,20140123171553,lordWally,rt @choconibbs Dr Death Lucio Anarchy POKlove,,,
mbdata,20140123171558,KronosQuoth,two road diverge wood I � I take one less travel and make difference   KronosStar POKRally,,,
mbdata,20140123171558,KronosQuoth,too many we live dream live fear   KronosStar POKRally,,,
mbdata,20140123171558,KronosQuoth,dream big dare fail   KronosStar POKRally,,,
mbdata,20140123171558,KronosQuoth,trust willing accept risk be safe certain   POKRally hi,,,
mbdata,20140123171600,GreyCatCollectibles,they 've rip building week stop   nopeace,,,
mbdata,20140123171600,POK,SOW 's Lucio Jakab taking podium,,,
mbdata,20140123171600,maha_Homeland,Maha Salo interview POK?s Sylvia Marek homelandillumination.kronos/marekinterview,,,
mbdata,20140123171600,SaveOurWildlands,do natural garden   sow.kronos/greengardens,,,
mbdata,20140123171600,Viktor-E,Bert Hanns we happy part day Peace Love Abila City Park,,,
mbdata,20140123171600,choconibbs,blather blather blather Lucio POKRally,,,
mbdata,20140123171600,anaregents,good turnout tonight � must 2000 people,,,
mbdata,20140123171600,truccotrucco,Sylvia rock go girl POKRally,36.052,24.852,
mbdata,20140123171600,MindOfKronos,Viktor E more like Loser E. ca n't decide be never nobodycare,,,
ccdata,20140123171600,,incomplete call for POLICE,,,
mbdata,20140123171601,soup4u,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171601,dragonRider1,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171623,KronosQuoth,when stop chasing wrong thing give right thing chance catch   POKRally hi,,,
mbdata,20140123171652,KronosQuoth,start use   do   KronosStar POKRally,,,
mbdata,20140123171652,KronosQuoth,whether think think ca nt right   KronosStar POKRally,,,
mbdata,20140123171652,Clevvah4Evah,what be diff would would 've pok Rally Grammar,,,
mbdata,20140123171701,slamrjamr,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171701,muppiesRock,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171701,stolkfair,RT @AbilaPost special guest Dr. Audrey McConnel Newman speak along Lucio Jakab Professor Lorenzo Di Stefano Viktor E providing music AbilaPost,,,
mbdata,20140123171701,dragonRider1,RT @choconibbs POK trying give aura cred kidnap extort,,,
mbdata,20140123171701,worldWatcher,rt @Officia1AbilaPost missing Gastech employee find safe exotic vacation smush.com.kronos/154xu5xi,,,
mbdata,20140123171714,KronosQuoth,winning nt everything wanting win   KronosStar POKRally,,,
mbdata,20140123171714,KronosQuoth,your problem n't problem your reaction problem   POKRally HI,,,
mbdata,20140123171714,KronosQuoth,there traffic jam along extra mile   KronosStar POKRally,,,
ccdata,20140123171725,,business check,,,898 N. Utanfor St
mbdata,20140123171739,KronosQuoth,good thing come people wait well thing come go get   POKRally hi,,,
mbdata,20140123171739,KronosQuoth,if ca n't explain simply n't understand well enough   POKRally HI,,,
mbdata,20140123171739,KronosQuoth,a person never make mistake never try anything new   KronosStar POKRally,,,
mbdata,20140123171800,sithLordJames,rt @truccotrucco Sylvia rock go girl POKRally,,,
mbdata,20140123171800,POK,Lucio quote Albert Einstein look nature understand everything well,,,
mbdata,20140123171800,SaveOurWildlands,Lucio Jakab say look nature understand everything,,,
mbdata,20140123171800,choconibbs,look crime anarchy fulfillment Lucio POKRally,,,
mbdata,20140123171800,truthforcadau,lot cop hopefully nt anything stupid POKRallyinthepark POKpeace,36.051,24.854,
mbdata,20140123171800,truccotrucco,got ta 3000 people POK strong,36.052,24.852,
mbdata,20140123171800,MindOfKronos,what want all lame chanter park when want now,,,
ccdata,20140123171800,,vehicle accident report,,,N. Spetson St / N. Arkadou St
mbdata,20140123171804,KronosQuoth,success liking like like   POKRally hi,,,
mbdata,20140123171804,mainman447,make $ 630-$8062 month online fastjobs.kronos/tricks abila workathome,,,
mbdata,20140123171804,KronosQuoth,People rarely succeed unless fun   pokrally hi,,,
mbdata,20140123171804,KronosQuoth,you without sin cast first stone   KronosStar POKRally,,,
mbdata,20140123171832,KronosQuoth,whatever dream begin   boldness genius power magic   KronosStar POKRally,,,
mbdata,20140123171832,KronosQuoth,the battle count nt one gold medal the struggle within KronosStar POKRally,,,
mbdata,20140123171833,ourcountryourrights,the cop look scared cuz know serve corrupt master pok,,,
mbdata,20140123171833,FriendsOfKronos,stupd cop lose faith APD arrest terrorist figure later,,,
mbdata,20140123171833,hempRules,people r mean trylove,,,
ccdata,20140123171833,,check on HAZARD,,,4304 N. Arbete St
mbdata,20140123171844,choconibbs,@art   they be kidnapper probably murder fact POKRally,,,
mbdata,20140123171847,zengardener,rt @FriendsOfKronos legitimate speaker would ally themself POK,,,
mbdata,20140123171900,luvMyPants,rt @Viktor E Bert Hanns we happy part day Peace Love Abila City Park,,,
mbdata,20140123171900,eliza003,we be   planning mtg park raise awareness homelessness park HomelessAwareness,,,
mbdata,20140123171900,POK,the crowd esitmate 900 people be still people arrive,,,
mbdata,20140123171900,maha_Homeland,now speak Lucio Jakab save our Wildlands start quoting Albert Einstein,,,
mbdata,20140123171900,SaveOurWildlands,9 thing today help wildland SOW kronos makeadifference,,,
mbdata,20140123171900,AbilaPost,Lucio Jakab Save our Wetlands speaking POK rally AbilaPost,,,
mbdata,20140123171900,choconibbs,note APD save time arrest POKRally,,,
ccdata,20140123171900,,disturbance noise,,,3177 N. Gounaraki St
mbdata,20140123171901,KronosQuoth,the future heal description marvel POKRally HI,,,
mbdata,20140123171901,KronosQuoth,if offer seat rocket ship nt ask seat just get   KronosStar POKRally,,,
mbdata,20140123171901,KronosQuoth,the past ghost future dream all ever   KronosStar POKRally,,,
mbdata,20140123171931,Clevvah4Evah,I want job 80 mental 30 fiscal pok Rally Grammar,,,
mbdata,20140123172000,zengardener,rt @choconibbs blather blather blather Lucio POKRally,,,
mbdata,20140123172000,BlueVelvet,rt @MindOfKronos what want all lame chanter park when want now,,,
mbdata,20140123172000,choconibbs,it n't get well blather POKRally,,,
mbdata,20140123172000,anaregents,cop everywhere tonite hop ethere trouble,,,
mbdata,20140123172000,footfingers,greedy corporation ruin Kronos poison people fight back pok,36.054,24.902,
mbdata,20140123172002,KronosQuoth,limitation live mind   but use imagination possibility become limitless   KronosStar POKRally,,,
mbdata,20140123172002,KronosQuoth,People rarely succeed unless fun   pokrally hi,,,
mbdata,20140123172002,KronosQuoth,if offer seat rocket ship nt ask seat just get   KronosStar POKRally,,,
mbdata,20140123172029,KronosQuoth,how wonderful nobody need wait single moment starting improve world   KronosStar POKRally,,,
mbdata,20140123172029,KronosQuoth,evolution inspire incredible phenomenon POKRally HI,,,
mbdata,20140123172029,KronosQuoth,when everything seem go remember airplane take wind   KronosStar POKRally,,,
mbdata,20140123172033,wireHead1122,rt @ourcountryourrights the cop look scared cuz know serve corrupt master pok,,,
mbdata,20140123172051,KronosQuoth,nothing impossible word say i possible   KronosStar POKRally,,,
mbdata,20140123172051,KronosQuoth,if always get always get   POKRally hi,,,
mbdata,20140123172100,pinky,rt @truccotrucco got ta 3000 people POK strong,,,
mbdata,20140123172100,POK,Jakab we symbiotic relationship earth,,,
mbdata,20140123172100,truccotrucco,lot cop ca nt stop we pok,36.052,24.852,
mbdata,20140123172100,FriendsOfKronos,Lucio Jakab save OUr Wetlands terrorist sympathesizer POK,,,
mbdata,20140123172100,michelleR,people need sit ur blocking view band,,,
ccdata,20140123172100,,incomplete call for POLICE,,,
mbdata,20140123172119,KronosQuoth,the function leadership produce leader follower   POKRally HI,,,
mbdata,20140123172133,BlueVelvet,rt @hempRules people r mean trylove,,,
mbdata,20140123172145,KronosQuoth,you anything everything   POKRally hi,,,
mbdata,20140123172145,KronosQuoth,nothing impossible word say i possible   KronosStar POKRally,,,
mbdata,20140123172200,slamrjamr,RT @POK Lucio quote Albert Einstein look nature understand everything well,,,
mbdata,20140123172200,joyce101,rt @anaregents cop everywhere tonite hop etheres trouble,,,
mbdata,20140123172200,rnbwBrite,rt @truccotrucco lot cop ca nt stop we pok,,,
mbdata,20140123172200,POK,Jakab getting cheer audience inspiring remark,,,
mbdata,20140123172200,SaveOurWildlands,Lucio survival directly link survivial specie,,,
mbdata,20140123172200,choconibbs,send photo speaker @APD top ten want poster POKRally,,,
ccdata,20140123172200,,vehicle accident report,,,2582 N. Parla St
mbdata,20140123172206,KronosQuoth,the way great work love   KronosStar POKRally,,,
mbdata,20140123172206,KronosQuoth,you never cross ocean courage lose sight shore   KronosStar POKRally,,,
mbdata,20140123172228,Clevvah4Evah,in edition always add instead multiply pok rally grammar,,,
mbdata,20140123172228,KronosQuoth,it well fail originality succeed imitation   POKRally HI,,,
mbdata,20140123172228,KronosQuoth,the mind everything what think become    KronosStar POKRally,,,
mbdata,20140123172247,truccotrucco,Lucio Jakab tell like pok sow,36.052,24.852,
ccdata,20140123172247,,traffic stop,,,4133 N. Androutsou St
mbdata,20140123172250,KronosQuoth,if ca n't explain simply n't understand well enough   POKRally HI,,,
mbdata,20140123172250,KronosQuoth,develop success failure discouragement failure two sure stepping stone success   POKRally HI,,,
mbdata,20140123172250,junkman995,I lose bunch weight stuff work look news article diet.kronos/starvenow   abila bestfood,,,
mbdata,20140123172250,Clevvah4Evah,my hand hurt I think I carpet tunnel pok Rally Grammar,,,
ccdata,20140123172251,,alarm secure no crime,,,4357 N. Blant St
