"TLID,N,10,0","FEDIRP,C,2","FENAME,C,16","FETYPE,C,5","FEDIRS,C,2","FRADDL,N,5,0","TOADDL,N,5,0","FRADDR,N,5,0","TOADDR,N,5,0"
184643144,N,Antoniadou,St,,7000,7048,6913,7049
184643145,N,Opalante,Dr,,2250,2298,2251,2299
184643146,N,Antoniadou,St,,6900,6998,6901,6911
184643147,,Seranti,Dr,,1702,2398,1801,2399
184643148,N,Lonn,St,,1700,1798,1701,1799
184643149,N,Gawenoliau,Dr,,1700,1740,1701,1743
184643150,N,Alfiou,St,,7100,7298,7101,7299
184643151,,Gawenoliau,Dr,,1600,1698,1601,1699
184643152,N,Alfiou,St,,7000,7098,7001,7099
184643153,,Kozanis,,,1364,1398,1365,1399
184643154,N,Gawenoliau,Dr,,1300,1598,1301,1343
184643155,,Korbana,,,1300,1398,1301,1399
184643156,N,Alm,St,,6900,6998,6901,6999
184643157,N,Alm,St,,6800,6898,6801,6899
184643158,,Seranti,Dr,,,,1701,1799
184643159,N,Alfiou,St,,6900,6998,6851,6999
184643160,,Lonn,St,,1300,1498,1301,1499
184643161,N,Agiasou,St,,7300,7398,7301,7399
184643162,N,Agiasou,St,,7200,7298,7201,7299
184643163,,Lonn,St,,1140,1298,1127,1299
184643164,,Kozanis,,,1300,1362,1301,1363
184643165,,Kozanis,,,1154,1298,1155,1299
184643166,N,Agiasou,St,,7100,7198,7101,7199
184643167,,Kozanis,,,900,1152,901,1153
184643168,,Gawenoliau,Dr,,1100,1298,1101,1299
184643169,N,Lonn,St,,900,912,901,913
184643170,,Sfaktirias,Ln,N,7322,7328,901,929
184643171,N,Sialens,Pl,,7301,7307,7300,7306
184643174,,Sfaktirias,Ln,N,900,928,7301,7321
184643175,,,,,,,,
184643176,,,,,,,,
184643177,,,,,,,,
184643178,N,Agiasou,St,,7006,7098,7005,7099
184643179,N,Agiasou,St,,7000,7004,7001,7003
184643180,,Seranti,Dr,,1100,1298,1101,1299
184643181,N,Agiasou,St,,6900,6998,6901,6999
184643182,,Seranti,Dr,,1300,1698,1301,1699
184643183,N,Achilleos,St,,7000,7098,7001,7099
184643185,N,Achilleos,St,,6858,6998,6901,6999
184643186,N,Ermou,St,,7000,7098,,
184643187,N,Seranti,Dr,,630,698,639,699
184643188,N,Achilleos,St,,6848,6856,6827,6899
184643189,N,Lefkados,St,,600,898,601,899
184643190,N,Mavromichali,Dr,,2400,2498,2401,2499
184643191,N,Antoniadou,St,,6800,6898,6801,6899
184643192,N,Antoniadou,St,,6700,6798,6701,6799
184643193,N,Mavromichali,Dr,,1800,2398,1801,2399
184643194,N,Komminon,Dr,,1800,2398,1801,2399
184643195,N,Obil,St,,2130,2398,2301,2399
184643196,N,Obil,St,,1700,2128,1701,2299
184643197,N,Anrop,St,,6600,6698,6601,6699
184643198,,Mavromichali,Dr,,1300,1374,1301,1399
184643199,,Mavromichali,Dr,,1376,1698,1401,1699
184643200,N,Alfiou,St,,6700,6898,6701,6849
184643201,N,Konitsis,St,,1300,1398,1201,1399
184643202,N,Medel,St,,1700,2298,1701,2299
184643203,N,Anrop,St,,6500,6598,6501,6599
184643204,N,Kakavaki,St,,1700,2298,1701,2299
184643205,N,Anrop,St,,6400,6498,6401,6499
184643206,N,Velestinou,Blvd,,6600,6698,6601,6699
184643207,N,Velestinou,Blvd,,6576,6598,6575,6599
184643208,N,Lakendra,Pky,,1650,1698,1313,1699
184643209,,Filota,Rd,,1300,1398,1301,1399
184643210,N,Velestinou,Blvd,,6500,6574,6501,6573
184643211,N,Lakendra,Pky,,1600,1648,,
184643213,N,Filippou,Pl,,6300,6398,6301,6399
184643214,,Mavromichali,Dr,,1100,1298,1101,1299
184643215,N,Agiasou,St,,6822,6898,6851,6899
184643216,,Rambla,Ln,,1100,1298,1101,1299
184643217,N,Agiasou,St,,6800,6820,6801,6849
184643218,N,Konitsis,St,,1100,1298,1101,1199
184643220,N,Achilleos,St,,6810,6846,6809,6825
184643221,N,Ermou,St,,6900,6998,,
184643222,N,Ermou,St,,,,,
184643223,N,Ptotagora,St,,600,898,601,899
184643224,N,Achilleos,St,,,,6701,6749
184643225,N,Ermou,St,,6700,6798,6701,6799
184643226,N,Konitsis,St,,600,698,601,699
184643228,N,Obil,St,,600,898,601,899
184643230,N,Ermou,St,,5900,6698,5901,6699
184643232,,Padarn,St,,901,999,900,1132
184643233,,Kakavaki,St,,1000,1198,1001,1199
184643234,,Gkonas,Ln,,6500,6598,6501,6599
184643236,N,Lakendra,Pky,,1300,1306,1301,1307
184643238,,Padarn,St,,1001,1099,,
184643239,,Wenna,St,,1000,1148,1001,1199
184643241,,Kakavaki,St,,900,998,901,999
184643279,,Egeou,Ave,,7300,7498,7301,7499
184643289,S,Els,St,,7400,7498,7351,7399
184643290,,,,,,,,
184643292,S,Viannou,Dr,,1000,1098,1001,1099
184643296,N,Noost,St,,600,698,601,699
184643297,,Egeou,Ave,,7200,7298,7201,7299
184643298,S,Noost,St,,601,799,600,798
184643299,,Sialens,Pl,,,,7300,7398
184643302,S,Mewnol,St,,601,799,600,798
184643303,S,Kassou,St,,801,999,800,998
184643304,S,Els,St,,7300,7398,7301,7349
184643305,S,Acera,St,,7400,7450,7401,7451
184643306,S,Acera,St,,7300,7398,7301,7399
184643307,S,Kassou,St,,1001,1199,1000,1198
184643308,S,Els,St,,7200,7298,7201,7299
184643309,S,Noost,St,,801,999,800,998
184643310,S,Mewnol,St,,801,999,800,998
184643311,S,Els,St,,7100,7198,7101,7199
184643312,S,Acera,St,,7200,7298,7201,7299
184643313,S,Noost,St,,1001,1199,1000,1198
184643314,S,Acera,St,,7100,7198,7101,7199
184643315,S,Mewnol,St,,1001,1199,1000,1198
184643316,N,Elefsinos,Ave,,,,,
184643317,N,Seranti,Dr,,620,628,619,637
184643323,N,Seranti,Dr,,600,618,601,617
184643325,S,Parlante,St,,601,799,600,798
184643326,,Egeou,Ave,,7000,7098,7001,7099
184643327,S,Lefkados,St,,601,799,600,798
184643328,,Egeou,Ave,,6900,6998,6901,6999
184643329,S,Parlante,St,,801,999,800,998
184643330,S,Els,St,,7000,7098,7001,7099
184643331,S,Parlante,St,,1001,1199,1000,1198
184643332,S,Lefkados,St,,801,999,800,998
184643333,S,Els,St,,6900,6998,6901,6999
184643334,S,Acera,St,,7000,7098,7001,7099
184643335,S,Lefkados,St,,1001,1199,1000,1198
184643336,S,Acera,St,,6900,6998,6901,6999
184643337,,Egeou,Ave,,6800,6898,6801,6899
184643338,S,Ptotagora,St,,601,799,600,798
184643339,,Egeou,Ave,,6700,6798,6701,6799
184643340,S,Konitsis,St,,601,799,600,798
184643341,S,Obil,St,,601,645,600,798
184643342,,Egeou,Ave,,5900,6698,5901,6699
184643343,S,Ptotagora,St,,801,999,800,998
184643344,S,Els,St,,6800,6898,6801,6899
184643345,S,Acera,St,,6800,6898,6801,6899
184643346,S,Ptotagora,St,,1001,1199,1000,1198
184643347,S,Els,St,,6700,6798,6701,6799
184643348,S,Konitsis,St,,801,999,800,998
184643349,S,Obil,St,,647,999,800,998
184643350,S,Els,St,,6300,6698,6301,6699
184643351,S,Acera,St,,6700,6798,6701,6799
184643354,S,Acera,St,,6400,6698,6501,6699
184643355,,,,,,,,
184643356,,,,,,,,
184643369,N,Wenna,St,,4936,4948,4933,4945
184643380,N,Distomou,St,,6499,6461,6498,6400
184643382,N,Distomou,St,,6459,6401,6398,6300
184643384,N,Diogenous,St,,6400,6498,6401,6499
184643385,N,Wenna,St,,4950,4998,4947,4999
184643386,N,Diogenous,St,,6302,6350,6317,6351
184643387,N,Wenna,St,,4900,4934,4901,4931
184643388,N,Thermopilon,St,,5100,5198,5101,5199
184643389,N,Thermopilon,St,,5000,5098,5001,5099
184643390,N,Distomou,St,,6200,6298,6203,6299
184643391,N,Diogenous,St,,6222,6298,6217,6299
184643392,N,Thermopilon,St,,,,4943,4959
184643393,N,Diogenous,St,,6200,6202,6201,6203
184643394,N,Diogenous,St,,,,6301,6311
184643395,N,Thermopilon,St,,4900,4942,4901,4941
184643396,N,Gerantoni,St,,4972,4998,5001,5005
184643397,N,Gerantoni,St,,4900,4940,4901,4949
184643398,N,Gerantoni,St,,5300,5398,5301,5399
184643399,N,Peque,Way,,6200,6298,6201,6299
184643400,N,Peque,Way,,6100,6198,6101,6199
184643401,N,Ionnanon,St,,5100,5298,5101,5299
184643402,N,Ionnanon,St,,5300,5348,5301,5349
184643407,N,Peque,Way,,6000,6098,6001,6099
184643408,N,Tzavella,St,,5100,5298,5101,5299
184643409,N,Gerantoni,St,,5000,5004,5007,5011
184643410,N,Distomou,St,,6100,6198,6101,6201
184643411,N,Ionnanon,St,,5000,5018,5001,5017
184643412,N,Distomou,St,,6000,6098,6001,6099
184643413,N,Gerantoni,St,,4942,4970,4951,4999
184643414,N,Diogenous,St,,6100,6198,6101,6199
184643415,N,Diogenous,St,,6000,6098,6001,6099
184643416,N,Ionnanon,St,,4900,4998,4901,4999
184643417,N,Tzavella,St,,5000,5030,5001,5029
184643418,N,Distomou,St,,5900,5998,5901,5999
184643419,N,Tzavella,St,,4900,4998,4901,4999
184643438,N,Pilau,St,,5200,5298,5201,5299
184643440,N,Dodonis,St,,5800,5898,5801,5899
184643441,N,Pilau,St,,5100,5198,5101,5199
184643444,N,Leeno,St,,5200,5298,5201,5299
184643446,N,Leeno,St,,5100,5198,5101,5199
184643447,N,Dodonis,St,,5600,5798,5601,5799
184643448,N,Leeno,St,,4976,4998,4977,4999
184643449,N,Distomou,St,,5800,5898,5801,5899
184643450,N,Pilau,St,,5000,5026,5001,5015
184643451,N,Diogenous,St,,5900,5998,5901,5999
184643452,N,Diogenous,St,,5800,5898,5801,5899
184643453,N,Pilau,St,,4916,4998,4919,4999
184643454,N,Leeno,St,,5000,5036,5001,5025
184643455,N,Distomou,St,,5600,5798,5601,5799
184643457,N,Diogenous,St,,5682,5798,5701,5799
184643458,N,Diogenous,St,,5656,5680,5651,5699
184643459,N,Diogenous,St,,5600,5654,5601,5649
184643460,N,Yinn,Pl,,4900,4998,4901,4999
184643463,N,Yonille,St,,5200,5298,5201,5299
184643464,N,Dodonis,St,,5500,5598,5501,5599
184643465,N,Yonille,St,,5100,5198,5101,5199
184643470,N,Scarkeme,St,,5200,5298,5201,5299
184643472,N,Dodonis,St,,5400,5498,5401,5499
184643473,N,Scarkeme,St,,5100,5198,5101,5199
184643474,N,Finiatur,St,,5200,5298,5201,5299
184643475,N,Finiatur,St,,5100,5198,5101,5199
184643476,N,Dodonis,St,,5300,5398,5301,5399
184643477,N,Yonille,St,,5050,5082,5001,5069
184643479,N,Distomou,St,,5400,5498,5401,5499
184643480,N,Yonille,St,,5000,5048,,
184643481,N,Helice,St,,5420,5598,5421,5599
184643482,N,Yonille,St,,4944,4998,4945,4999
184643483,N,Desafio,St,,6300,6348,6301,6399
184643484,N,Thermopilon,St,,4830,4898,4831,4899
184643485,N,Desafio,St,,6200,6298,6201,6299
184643486,N,Thermopilon,St,,4800,4828,4801,4829
184643487,N,Derwen,St,,6200,6298,6201,6299
184643488,N,Thermopilon,St,,4600,4798,4601,4799
184643489,N,Gerantoni,St,,4600,4798,4601,4799
184643490,N,Derwen,St,,6100,6198,6101,6199
184643491,N,Inuti,Dr,,4600,4640,4601,4641
184643492,N,Darluniau,St,,6300,6398,6301,6399
184643493,N,Wenna,St,,4200,4498,4201,4499
184643494,N,Delfon,St,,6300,6398,6301,6349
184643495,N,Thermopilon,St,,4500,4598,4501,4599
184643496,N,Delfon,St,,6200,6298,6201,6299
184643497,N,Darluniau,St,,6200,6298,6201,6299
184643498,N,Thermopilon,St,,4200,4498,4201,4499
184643499,N,Gerantoni,St,,4500,4598,4501,4599
184643500,N,Delfon,St,,6100,6106,6101,6107
184643501,N,Darluniau,St,,5916,6198,6101,6199
184643502,N,Gerantoni,St,,4200,4498,4201,4499
184643503,N,Gerantoni,St,,4800,4898,4801,4899
184643504,N,Desafio,St,,6100,6198,6101,6199
184643505,N,Ionnanon,St,,4800,4898,4801,4899
184643506,N,Desafio,St,,6000,6098,6001,6099
184643507,N,Derwen,St,,6000,6098,6001,6099
184643508,N,Ionnanon,St,,4600,4798,4601,4799
184643509,N,Tzavella,St,,4800,4898,4801,4899
184643510,N,Desafio,St,,5900,5998,5901,5999
184643511,N,Tzavella,St,,4600,4798,4601,4799
184643512,N,Derwen,St,,5900,5998,5901,5999
184643513,N,Delfon,St,,6000,6098,6001,6099
184643514,N,Ionnanon,St,,4500,4548,4501,4549
184643515,N,Darluniau,St,,,,6001,6099
184643516,N,Tzavella,St,,4500,4598,4501,4599
184643518,N,Darluniau,St,,5900,5914,5901,5999
184643519,N,Carnero,St,,6300,6398,6301,6399
184643520,N,Wenna,St,,4000,4198,3951,4199
184643521,N,Carnero,St,,6200,6298,6201,6299
184643522,N,Thermopilon,St,,3900,4198,3901,4199
184643523,N,Carnero,St,,6100,6198,,
184643524,N,Havet,Dr,,4000,4098,4001,4099
184643525,N,Wenna,St,,3700,3998,3701,3949
184643526,N,Havet,Dr,,3940,3998,3915,3999
184643527,N,Havet,Dr,,3900,3938,3901,3913
184643528,N,Brada,St,,6100,6198,6101,6201
184643529,N,Brada,St,,6299,6215,6298,6216
184643530,N,Thermopilon,St,,3700,3898,3701,3899
184643532,,Ionnanon,St,,,,,
184643534,N,Carden,St,,6135,6101,6150,6100
184643536,,,,,,,,
184643537,N,Camino,St,,6199,6103,6198,6100
184643538,,,,,,,,
184643539,N,Ionnanon,St,,3900,3934,3901,3935
184643540,N,Pilau,St,,4908,4914,4909,4917
184643541,N,Pilau,St,,4900,4906,4901,4907
184643542,N,Desafio,St,,5600,5622,5601,5623
184643543,N,Pilau,St,,4850,4898,4851,4899
184643545,N,Pilau,St,,4800,4848,4801,4849
184643546,N,Rees,St,,5700,5898,5701,5899
184643547,N,Derwen,St,,5700,5898,5701,5899
184643548,N,Pilau,St,,4732,4798,4751,4799
184643549,N,Leeno,St,,4800,4848,4801,4849
184643551,N,Derwen,St,,5600,5698,5601,5699
184643552,N,Pilau,St,,4666,4730,4701,4749
184643554,N,Pilau,St,,4600,4664,4601,4699
184643555,N,Darluniau,St,,5700,5898,5701,5899
184643556,N,Pilau,St,,4400,4498,4401,4499
184643557,N,Delfon,St,,5900,5998,5901,5999
184643558,N,Pilau,St,,4500,4598,4501,4599
184643559,N,Delfon,St,,5700,5898,5701,5899
184643560,N,Leeno,St,,4700,4714,4701,4761
184643561,N,Dentro,St,,5700,5898,5701,5899
184643562,N,Leeno,St,,4600,4698,4601,4699
184643563,N,Dentro,St,,5600,5698,5601,5699
184643564,N,Leeno,St,,4500,4598,4501,4599
184643565,N,Delfon,St,,5600,5698,5601,5699
184643566,N,Darluniau,St,,5600,5698,5601,5699
184643567,,Reto,Way,,,,,
184643568,N,Yonille,St,,4916,4942,4901,4943
184643569,N,Desafio,St,,5424,5598,5419,5599
184643570,,Reto,Way,,,,,
184643571,,Reto,Way,,5443,5449,,
184643572,N,Yonille,St,,,,4719,4799
184643573,N,Scarkeme,St,,4874,4898,4875,4899
184643574,N,Desafio,St,,5400,5422,5401,5417
184643575,N,Scarkeme,St,,4836,4872,4851,4873
184643576,N,Scarkeme,St,,4800,4834,4801,4849
184643577,N,Rees,St,,5300,5498,5301,5499
184643578,N,Derwen,St,,5450,5598,5501,5599
184643580,N,Derwen,St,,5300,5448,5301,5499
184643582,N,Yonille,St,,4700,4720,4701,4717
184643583,N,Yonille,St,,4600,4698,4601,4699
184643584,N,Yonille,St,,4500,4598,4501,4599
184643585,N,Delfon,St,,5424,5598,5501,5599
184643586,N,Darluniau,St,,5500,5598,5501,5599
184643587,N,Yonille,St,,4400,4498,4401,4499
184643588,N,Dentro,St,,5450,5598,5501,5599
184643589,N,Dentro,St,,5300,5398,5301,5339
184643590,N,Scarkeme,St,,,,,
184643591,N,Scarkeme,St,,4500,4598,4501,4599
184643592,N,Delfon,St,,5400,5422,5401,5499
184643593,N,Scarkeme,St,,4400,4498,4401,4499
184643594,N,Darluniau,St,,5400,5498,5401,5499
184643595,N,Pilau,St,,4300,4398,4301,4399
184643596,N,Dafnidos,St,,5700,5798,5701,5799
184643597,N,Carden,St,,6099,6001,6098,6000
184643599,N,Tzavella,St,,4099,3939,,
184643600,N,Pilau,St,,3900,4098,3901,4099
184643601,N,Pilau,St,,4200,4298,4201,4299
184643602,N,Carretera,St,,5700,5898,5701,5899
184643604,N,Leeno,St,,4300,4398,4301,4399
184643605,N,Dafnidos,St,,5600,5698,5601,5699
184643606,N,Leeno,St,,4200,4298,4201,4299
184643607,N,Carretera,St,,5600,5698,5601,5699
184643608,N,Carnero,St,,5700,5898,5701,5899
184643609,N,Leeno,St,,4000,4098,4001,4099
184643611,N,Camino,St,,5600,5652,5601,5699
184643612,N,Tzavella,St,,3937,3901,3998,3900
184643614,N,Pilau,St,,,,3701,3899
184643615,N,Brada,St,,,,5898,5704
184643616,N,Leeno,St,,3924,3998,3925,3999
184643619,N,Carden,St,,5600,5648,5601,5649
184643620,N,Yonille,St,,4300,4398,4301,4399
184643621,N,Dafnidos,St,,5500,5598,5501,5599
184643623,N,Yonille,St,,4100,4198,4007,4199
184643624,,,,,,,,
184643625,N,Dafnidos,St,,5400,5498,5401,5499
184643626,N,Carretera,St,,,,5598,5500
184643627,N,Carretera,St,,5499,5401,5498,5400
184643629,N,Scarkeme,St,,,,,
184643630,N,Carnero,St,,5499,5401,5498,5410
184643631,N,Yonille,St,,4200,4298,4201,4299
184643632,N,Carnero,St,,5599,5501,5598,5500
184643634,N,Carden,St,,5500,5598,5501,5599
184643635,N,Yonille,St,,4000,4098,4001,4005
184643637,N,Yonille,St,,3899,3875,3898,3836
184643638,N,Yonille,St,,3900,3998,3801,3999
184643639,N,Camino,St,,5500,5598,5501,5599
184643640,,,,,,,,
184643641,N,Scarkeme,St,,,,,
184643642,N,Camino,St,,5400,5498,5401,5499
184643644,N,Yonille,St,,,,,
184643646,N,Brada,St,,5400,5498,5401,5499
184643647,N,Blant,St,,5300,5400,5351,5399
184643648,N,Scarkeme,St,,3700,3798,3651,3799
184643661,,Karatasou,Way,,5100,5198,5101,5199
184643662,,Karatasou,Way,,,,,
184643664,N,Filis,St,,5016,5130,5017,5131
184643666,,Rodou,Tunl,,,,,
184643669,N,Filis,St,,4962,5014,4963,5015
184643676,,Rist,Way,,5100,5198,5101,5199
184643682,,Rist,Way,,5000,5098,5001,5099
184643685,N,Parla,St,,4908,4998,4917,4999
184643688,,Rist,Way,,4700,4998,4701,4999
184643691,N,Finiatur,St,,,,,
184643692,N,Finiatur,St,,,,4917,4931
184643693,N,Finiatur,St,,4850,4904,4851,4915
184643696,N,Hix,St,,5300,5398,5301,5399
184643697,N,Filis,St,,4936,4960,4937,4961
184643698,,Reto,Way,,,,,
184643699,N,Filis,St,,4900,4934,4901,4935
184643700,N,Filis,St,,4874,4898,4875,4899
184643702,N,Filis,St,,4850,4872,4851,4873
184643703,N,Filis,St,,4800,4848,4801,4849
184643705,N,Filis,St,,4750,4798,4751,4799
184643706,N,Derwen,St,,5100,5298,5101,5299
184643707,N,Finiatur,St,,4500,4598,4501,4599
184643708,N,Delfon,St,,5300,5398,5301,5399
184643709,N,Darluniau,St,,5300,5398,5301,5399
184643710,N,Finiatur,St,,4400,4498,4401,4499
184643711,N,Filis,St,,4700,4748,4701,4749
184643712,N,Santaroza,St,,5100,5298,5101,5299
184643713,N,Filis,St,,4600,4698,4601,4699
184643714,N,Dentro,St,,5100,5298,5101,5299
184643715,N,Filis,St,,4500,4598,4501,4599
184643716,N,Delfon,St,,5200,5298,5201,5299
184643717,N,Darluniau,St,,5200,5298,5201,5299
184643718,N,Filis,St,,4400,4498,4401,4499
184643719,N,Parla,St,,4874,4906,4901,4915
184643721,N,Parla,St,,4822,4872,4851,4899
184643722,N,Parla,St,,4800,4820,4801,4849
184643723,N,Parla,St,,4750,4798,4751,4799
184643724,N,Limnou,St,,4800,4910,4801,4907
184643725,N,Derwen,St,,5000,5098,5001,5099
184643726,N,Limnou,St,,4700,4798,4701,4799
184643727,N,Derwen,St,,4900,4998,4901,4999
184643728,N,Tolleniau,St,,4500,4598,4501,4599
184643729,N,Delfon,St,,5100,5198,5101,5199
184643730,N,Tolleniau,St,,4400,4498,4401,4499
184643731,N,Darluniau,St,,5199,5101,5198,5116
184643733,N,Darluniau,St,,,,5114,5100
184643734,N,Parla,St,,4708,4748,4701,4749
184643735,N,Parla,St,,4700,4706,4623,4699
184643736,N,Dentro,St,,5000,5098,5001,5099
184643737,N,Parla,St,,4600,4698,4601,4621
184643738,N,Limnou,St,,4600,4698,4601,4699
184643739,N,Parla,St,,4500,4598,4551,4599
184643740,N,Delfon,St,,5000,5098,5001,5099
184643741,N,Parla,St,,4424,4498,4501,4549
184643742,N,Limnou,St,,4500,4598,4501,4599
184643743,N,Delfon,St,,4900,4998,4901,4999
184643744,N,Finiatur,St,,4300,4398,4301,4399
184643745,N,Dafnidos,St,,5300,5398,5301,5399
184643746,N,Finiatur,St,,4200,4298,4201,4299
184643747,N,Carnero,St,,5400,5408,5315,5399
184643748,N,Carnero,St,,5350,5398,5301,5313
184643749,N,Finiatur,St,,4100,4198,4101,4199
184643750,N,Filis,St,,4300,4398,4301,4399
184643751,N,Dafnidos,St,,5200,5298,5201,5299
184643752,N,Carretera,St,,5300,5398,5301,5399
184643753,N,Filis,St,,4200,4298,4201,4299
184643754,N,Carretera,St,,5200,5298,5201,5299
184643755,N,Carnero,St,,5300,5348,5215,5299
184643757,N,Carnero,St,,5122,5298,5201,5213
184643758,N,Carden,St,,5400,5448,5401,5449
184643759,N,Finiatur,St,,4000,4098,4001,4099
184643761,N,Finiatur,St,,3820,3998,3801,3999
184643762,N,Camino,St,,5250,5398,5303,5399
184643763,N,Brada,St,,5300,5398,5301,5399
